local-authority-code,council,start_year,end_year,data_type,emission_savings,project_name,lifetime,cost,funding_source,emission_source,annual_cost,annual_savings,measurement,savings_start,comments
ABE,Aberdeen City Council,2016,2017,project,,Thermal imaging study.,,,Aberdeen City Council.,,,,,,"Thermal imaging was undertaken on 6,000 properties during 2016.  This information was loaded onto the web and householders were encouraged to view it and seek advice on energy efficiency measures.  Interest was high but follow up was low. "
ABE,Aberdeen City Council,2016,2017,project,,External insulation at Froghall,,,Aberdeen City Council.,Other,,,Estimated,2015/16,Project completed. Anticipated 189tCO2e. 96 properties in a three-story mixed tenure block to be insulated externally to improve energy efficiency. Will reduce emissions associated with heating the building.
ABE,Aberdeen City Council,2016,2017,project,,Overcladding in Seaton,,,Aberdeen City Council.,Other,,,Estimated,,7 multi-storey blocks in Seaton to be over-clad to improve energy efficiency. Covers period 2016-2018. Anticipated 477 tCO2e saving. Will reduce emissions associated with heating the building.
ABE,Aberdeen City Council,2017,2018,project,,"On-going replacement
of high output with
lower energy LED units
as per maintenance
and new lantern
programme.",,,Aberdeen City Council,Grid Electricity ,,,Estimated,,"From 2016-2023. Estimated 4,366 tCO2e over 7 years.
Over one third of the city’s street lighting stock has been converted to LED. Project expected to be completed end of 2019. 
"
ABE,Aberdeen City Council,2017,2018,project,,"Implementation of
energy efficiency
measures on buildings
on an on-going basis
through the maintenance
and upgrade
programme.",,,Aberdeen City Council,Other,,,Estimated,2015/16,There is an ongoing programme to reduce energy efficiency in public buildings by 2.5% per year. It is projected that the 2017/18 target of 2.5% reduction has been met. 
ABE,Aberdeen City Council,2017,2018,project,,On-going expansion of the use of hydrogen vehicles within our fleet.,,,"HyTrEc 
Interreg IVB
funding
(European), private partners and Aberdeen City Council",Other,,,Estimated,,10 hydrogen- fuelled vehicles currently in operation. Estimated carbon savings in 2017/18 was 460tCO2.
ABE,Aberdeen City Council,2017,2018,project,,"On-going expansion of the Co-
Wheels car club
network with more
vehicles available,
with greater diversity and range of low carbon
vehicles available to
staff.",,,"Aberdeen City
Council,
Transport
Scotland, Cowheels
Car
Club",Other,,,Estimated,2012/13,"Currently, there are 40 fleet cars and 3 vans consisting of 25 electric or alternatively fuelled vehicles, 5 hybrid vehicles and 1 Wheelchair accessible vehicle. The car-club membership was 887 in 2017/18 compared to 677 in 2016/17.  "
ABE,Aberdeen City Council,2017,2018,project,,"Expansion of electric
vehicles charging
points available within the city.",,,"Transport
Scotland,
Energy Saving
Trust Scotland,
Office for Low
Emission
Vehicles",Other,,,Estimated,2012/13,11 electric vehicle charging points becoming available in Aberdeen in 2017 and 2 further rapid recharging points were installed in 2018.
ABE,Aberdeen City Council,2017,2018,project,,Over cladding at Seaton.,,,Aberdeen City Council,,,,Estimated,,7 multi-storey blocks in Seaton to be over-clad to improve energy efficiency. Covers period 2016-2018. Anticipated 477 tCO2e saving. Will reduce emissions associated with heating the building. The project is estimated to be on track for completion in 2018.
ABE,Aberdeen City Council,2017,2018,project,657,Enhanced recycling.,,1429517,Aberdeen City Council and Zero waste Scotland.,,,,Estimated,2013/14,"Approximately 47,000 properties are now served by communal food waste bins. 
Food waste is collected separately from other waste streams.
Work continues to improve participation and capture rates.
"
ABE,Aberdeen City Council,2018,2019,project,35.65,Aberdeen City Hydrogen Energy Storage,,2.9,"Funding from fuel sales, ACC, NESTRANS, Transport Scotland, EU Regional Development Fund",,103000,,,2018/19,Project to decarbonise transport used by a range of stakeholders.
ABE,Aberdeen City Council,2018,2019,project,,"Expansion of electric
vehicles charging
points available within the city",,106000,"Transport Scotland, Energy Saving Trust (Scotland), Office for Low Emission Vehicles (OLEV), Civitas PORTIS",Car - petrol (average),56000,,,2012/13,"Chargepoints with installation organised by the Council are at 106. 68 public, 16 for car club only and 22 for fleet."
ABE,Aberdeen City Council,2018,2019,project,,"On-going expansion of the Co-
Wheels car club
network with more
vehicles",,900000,"Council budgets, Transport Scotland, Paths for All, Co-wheels car club",,156000,,,,"46 vehicles (up from 44), 2011 members (779 of whom are Council staff) as of March 2018. This is up from 1772 in 2018 and 730 staff in 2018.

"
ABE,Aberdeen City Council,2018,2019,project,,"Implementation of
energy efficiency
measures on buildings
on an on-going basis
through the maintenance
and upgrade
programme.",,,Aberdeen City Council,,,,,,There is an ongoing programme to reduce energy efficiency in public buildings by 2.5% per year. I met. 
ABE,Aberdeen City Council,2018,2019,project,1085,"On-going replacement
of high output with
lower energy LED units
as per maintenance
and new lantern
programme",7,667000,Aberdeen City Council,Grid Electricity ,,23102,,,Project expected to be completed end of 2019
ABE,Aberdeen City Council,2019,2020,project,"Well to Wheel saving of 100,174 kg.CO2e",Aberdeen City Hydrogen Energy Storage,,2.9,"Funding from fuel sales, ACC, NESTRANS, Transport Scotland, EU Regional Development Fund",,103000,,,2018/19,"Cenex are monitoring data for all vehicles using the ACHES station. Number of vehicles, fuel efficiency, miles driven, availability of station are also being measured"
ABE,Aberdeen City Council,2019,2020,project,,Electric vehicle charge point roll out,,"0 for 2019/20 but £810,000 to date","Transport Scotland, Energy Saving Trust (Scotland), Office for Low Emission Vehicles (OLEV), Civitas PORTIS",Petrol/ diesel,60000,,estimated,2012/13,"Charge points with installation organised by the Council are at 106. 68 public, 16 for car club only and 22 for fleet"
ABE,Aberdeen City Council,2019,2020,project,,Co-wheels car club,,"Around £900,000","Council budgets, Transport Scotland, Paths for All, Co-wheels car club",,"Around £156,000",,estimated,2012,49 vehicles in March 2020 up from 46 last year. (12 booked exclusively for Council staff use with only 1 of these 12 a petrol car and the rest Battery Electric Vehicle (BEV)or Fuel Cell Electric Vehicle (FECV)
ABE,Aberdeen City Council,2019,2020,project,,Implementation of energy efficiency measures on building on an on-going basis through maintenance and upgrade programme- heating pipe insulation,,,Aberdeen City Council,,,,,,"3 schools had pipe insulation fitted throughout the school, saving up to 20% of heat."
ABE,Aberdeen City Council,2019,2020,project,,LED Replacement Programme,,,Aberdeen City Council,625,7 years,,,,Reduction less than expected due to the addition of the detrunked network from Transport Scotland on the opening of the AWPR
ABE,Aberdeen City Council,2019,2020,project,,Implementation of energy efficiency measures on building on an on-going basis through maintenance and upgrade programme – AHU and control upgrades,,,Aberdeen City Council,,,,estimated,,Replacement of aging inefficient Air Heating Unit (AHU) in 1 school and controls in 4 schools reduced electricity usage by around 10%
ABE,Aberdeen City Council,2020,2021,project,352,Continued Streetlighting LED Replacement Programme,7,"£7,500,000 ",Aberdeen City Council,Grid Electricity (generation),,"17,000 ",Actual,2017/18,Inventory update being compiled - will see a further reduction on figures shown. 
ABE,Aberdeen City Council,2020,2021,project,92,Torry Heatnet - connecting 3 public buildings to existing District Heating Network,,9500000,Aberdeen City Council & Interreg North East Europe,Natural Gas,,,,2020/21,Interreg Heatnet NWE pilot completed at the start of 2021. In future Torry DH network will be supplied by heat from Energy from Waste plant currently under construction.  
ABE,Aberdeen City Council,2020,2021,project,,St Machar Academy District Heating Connection,,,Aberdeen City Council,,,,,2020/21,A 1.2km heat main to link St Machar Academy to Tillydrone Energy Centre 
ABE,Aberdeen City Council,2020,2021,project,,Woodlands Nursery District Heating Connection,,,Aberdeen City Council,,,,,2020/21,Connection to existing district heat network
ABE,Aberdeen City Council,2020,2021,project,,Tillydrone Nursery District Heating Connection,,,Aberdeen City Council,,,,,2020/21,Connection to existing district heat network
ABE,Aberdeen City Council,2020,2021,project,,Heating control upgrades,,,Aberdeen City Council,Natural Gas,,,,,Upgrade of heating controls in 3 schools and 1 community centre with minor works in 4 additional schools. Reduced gas use by 10%
ABE,Aberdeen City Council,2020,2021,project,,Electric vehicle charge point rollout,Ongoing ,"£315,000 for 2020/21    
£810,000 since 2012","Transport Scotland, Energy Saving Trust (Scotland), Office for Low Emission Vehicles (OLEV), Civitas PORTIS EU funded project",Other (please specify in comments),"£75,000 ",,Estimated,2012/13,"Primary fuel/emission source saved:Petrol & Diesel
Chargepoint installation organised by the Council 118.  
This includes 16 for the car club only and 22 for fleet"
ABE,Aberdeen City Council,2020,2021,project,7.03,Trial of vehicles running on green hydrogen dual fuel,,"Time – unknown.   
HyTrEc2 = £45,000    
TS = £69,000","HyTIME, HyTrEc2 (EU Interreg) and Transport Scotland Large Vehicles",Other (please specify in comments),,,Actual,2020/21,"Primary fuel/emission source saved:Petrol & Diesel
HyTIME, within the Low Emission Freight and Logistics Trial of vehicles running on hydrogen dual fuel. 1 roadsweeper, 2 waste trucks 
EU Interreg HyTrec2 project – 1 roadsweeper 
Transport Scotland funding – 1 Roadsweeper 
"
ABE,Aberdeen City Council,2020,2021,project,,Fleet Replacement Programme,,As committee paper,Aberdeen City Council,Other (please specify in comments),,,Estimated,2020/21,"Primary fuel/emission source saved: Petrol & Diesel
Low carbon fleet vehicles at the end of March 2021 included: electric vans, 25; electric cars, 7; electric compact sweeper, 1; electric mini digger, 1; Electric Refuse Collection Vehicle, 1; Diesel/ hydrogen vehicles, 5; hydrogen car 1. "
ABE,Aberdeen City Council,2020,2021,project,,Condition & Suitability Programme,,As committee paper,Aberdeen City Council,Other (please specify in comments),,,Estimated,,"Ongoing. Primary fuel/emission source saved: Electricity, Mains Gas, Oil and Water. Implementation of building energy efficiency measures through maintenance and upgrade programme 
"
ABD,Aberdeenshire Council,2014,2015,project,,Installation of biomass boilers at Buchan House,,,Aberdeenshire Council’s Capital Plan,,,,Estimated,2015/16,Details will be provided in future reports
ABD,Aberdeenshire Council,2014,2015,project,125,Pool Vehicle Expansion Project,5,,Aberdeenshire Council’s Capital Plan,Petrol,,,Estimated,2012/13,The existing network of pool vehicles will be expanded/modernised to enable the transfer of business mileage from the grey fleet to more environmentally efficient alternatives.
ABD,Aberdeenshire Council,2014,2015,project,,Electric Pool Vehicle Project,,,Aberdeenshire Council’s Capital Plan,Petrol,,,Estimated,2014/15,Integrate electric vehicles into the existing pool vehicle network.
ABD,Aberdeenshire Council,2014,2015,project,,Modal Shift - Private to Public Transport,,,Aberdeenshire Council’s Capital Plan,Petrol,,,Estimated,2014/15,A travel decision hierarchy was integrated into the corporate Travel Policy to promote a shift from private transport to non-travel and public transport alternatives.
ABD,Aberdeenshire Council,2014,2015,project,,Street Light Replacement Programme,6,400000,Aberdeenshire Council’s Capital Plan,Grid Electricity (generation),,,Estimated,2014/15,Phased replacement of street lights with low energy LED lanterns
ABD,Aberdeenshire Council,2015,2016,project,72,Solar PV,25,33000,Aberdeenshire Council Capital Plan,Grid Electricity ,0,,Actual,2015,
ABD,Aberdeenshire Council,2015,2016,project,376,CEEF Projects,15,77000,CEEF,Natural Gas,0,9000,Actual,2015,
ABD,Aberdeenshire Council,2016,2017,project,17,PV,25,90000,Capital Plan,Grid Electricity ,,6000,Estimated,2017/18,Midmill PV
ABD,Aberdeenshire Council,2016,2017,project,72,Biomass,20,,Capital Plan,Natural Gas,,,Estimated,2017/18,Scalloway + Midmill Biomass 
ABD,Aberdeenshire Council,2016,2017,project,442,Street Lighting,20,572150,Capital PLan,Grid Electricity ,180564,,Actual,2017/18,Replacement of old HID street lighting – part of 5 year programme with 20 years savings.
ABD,Aberdeenshire Council,2017,2018,project,13,Lairhillock School Solar PV,,,,Grid Electricity ,,5639,Estimated,2017/18,Primary School
ABD,Aberdeenshire Council,2017,2018,project,19,Uryside School Solar PV,,,,Grid Electricity ,,3618,Estimated,2017/18,Primary School
ABD,Aberdeenshire Council,2017,2018,project,12,Turriff Academy Solar PV,,,,Grid Electricity ,,4844,Estimated,2017/18,Secondary School
ABD,Aberdeenshire Council,2017,2018,project,7,Pitmedden School Solar PV,,,,Grid Electricity ,,3008,Estimated,2017/18,Primary School
ABD,Aberdeenshire Council,2017,2018,project,12,Meiklemill School Solar PV,,,,Grid Electricity ,,5183,Estimated,2017/18,Primary School
ABD,Aberdeenshire Council,2017,2018,project,12,Banff Academy Solar PV,,,,Grid Electricity ,,4991,Estimated,2017/18,Secondary School
ABD,Aberdeenshire Council,2017,2018,project,12,Mintlaw Academy Solar PV,,,,Grid Electricity ,,5238,Estimated,2017/18,Secondary School
ABD,Aberdeenshire Council,2017,2018,project,5,Turriff Primary Biomass,,,,Natural Gas,,0,Estimated,2017/18,"Primary School
Savings not known"
ABD,Aberdeenshire Council,2017,2018,project,5,Hillside Primary Biomass,,,,Natural Gas,,0,Estimated,2017/18,"Primary School
Savings not known"
ABD,Aberdeenshire Council,2017,2018,project,5,Uryside Primary Biomass,,,,Natural Gas,,0,Estimated,2017/18,"Primary School
Savings not known"
ABD,Aberdeenshire Council,2017,2018,project,800,Street Lighting,5,1200000,Capital Plan,Grid Electricity ,,,Actual,2017/18,Replacement of old HID street lighting – part of 5 year programme. 5year project with 20 years savings.
ABD,Aberdeenshire Council,2018,2019,project,20,"Kinellar
Primary CHP",,,,Grid Electricity ,,6200,Estimated,2019/20,New Build School
ABD,Aberdeenshire Council,2018,2019,project,15,"Crimond
Primary
Solar PV",,,,Grid Electricity ,,7500,Estimated,2019/20,Primary School
ABD,Aberdeenshire Council,2018,2019,project,15,"Elrick
Primary
Solar PV",,,,Grid Electricity ,,7500,Estimated,2019/20,Primary School
ABD,Aberdeenshire Council,2018,2019,project,15,"Fishermoss
Primary
Solar PV",,,,Grid Electricity ,,7500,Estimated,2019/20,Primary School
ABD,Aberdeenshire Council,2018,2019,project,15,"Kemnay
Academy
Solar PV",,,,Grid Electricity ,,7500,Estimated,2019/20,Secondary school
ABD,Aberdeenshire Council,2018,2019,project,15,"Laurencekirk
Primary
Solar PV",,,,Grid Electricity ,,7500,Estimated,2019/20,"Primary School
"
ABD,Aberdeenshire Council,2018,2019,project,15,"Port Errol
Primary
Solar PV",,,,Grid Electricity ,,7500,Estimated,2019/20,Primary School
ABD,Aberdeenshire Council,2018,2019,project,15,"Strathdon
Primary
Solar PV",,,,Natural Gas,,7500,Estimated,2019/20,Primary School
ABD,Aberdeenshire Council,2018,2019,project,15,"Tipperty Primary
Solar PV",,,,Natural Gas,,7500,Estimated,2019/20,Primary School
ABD,Aberdeenshire Council,2018,2019,project,15,"Turriff
Sports
Centre",,,,Natural Gas,,7500,Estimated,2019/20,Sports Centre 
ABD,Aberdeenshire Council,2018,2019,project,1530,Street Lighting,5,1600000,Capital Programme,Grid Electricity ,,60000,Estimated,2019/20,Replacement of old HID street lighting – part of 5 year programme.
ABD,Aberdeenshire Council,2019,2020,project,1530,Ongoing upgrade of street lighting to LED,5,1600000,Capital programme,Grid Electricity (generation),,60000,Estimated,2019/20,"Replacement of old HID street lighting – part of 5 year programme.  Estimated carbon savings per year taken from project data for whole project life (different from savings in 3e, which are based on just 2019-20 estimate)."
ABD,Aberdeenshire Council,2019,2020,project,182,Energy behaviour change initiatives,,,-,Grid Electricity (generation),,,Estimated,2017/18,Estimate taken as 1% reduction from 2019 electricity emissions figure
ABD,Aberdeenshire Council,2019,2020,project,20,Ongoing waste reduction messaging and use of Warp-It,,,-,Refuse Municipal to Landfill,,,Estimated,2017/18,"Estimate taken from 2019 to 2020 difference in internal landfill, recycling and compostable waste "
ABD,Aberdeenshire Council,2019,2020,project,303,Introduction of telematics and upgrading of fleet vehicles to EVs/Hybrids,10,83400000,Capital programme,Diesel (average biofuel blend),,,Estimated,2019/20,"Estimated capital cost taken from draft Fleet Services Strategic Plan  2020 - 2030, January 2020.  Rough estimate of carbon savings taken from 2019 to 2020 difference in fleet diesel and petrol  "
ABD,Aberdeenshire Council,2019,2020,project,172,Ongoing conversion of quarry fuels from kerosene to LPG,20,180000,Capital programme,Burning Oil (Kerosene) kWh,,5000,Estimated,2019/20,"Part year CO2 saving in 2019-20 of 80.657 tonnes.  Capital Cost of the Project to install was £180,000 and was substantially complete in August 2019.  Operational cost per annum is cost of the LPG as the equipment is owned and maintained by a third party.  Project lifetime estimated as quarry lifetime (20 years +).  Estimated carbon savings per annum estimated in the region of 200 tonnes +.  Estimated savings per annum difficult to determine as dependant on fluctuating fuel costs but estimated at time of installation at £5k per annum."
ABD,Aberdeenshire Council,2019,2020,project,24,Ongoing expansion of hybrid pool car scheme,,,Capital programme,Petrol (average biofuel blend),,,Estimated,2017/18,
ABD,Aberdeenshire Council,2019,2020,project,2,Savings from identification and remediation of leaks,,,Capital programme,Water - Supply,,,Estimated,2019/20,Savings from identification and remediation of leaks 5100m3 (5100*0.344x10-3=1.75)
ABD,Aberdeenshire Council,2020,2021,project,380,Street Lighting,5yrs project with 20 years savings.,1600000,Capital Programme,Grid Electricity (generation),,,Estimated,2020/21,Replacement of old HID street lighting – part of 5 year programme.
ANS,Angus Council,2014,2015,project,255.3,Streetlighting Upgrade to LED and controls,20,not available,Salex/Revenue/Capital,Renewable Elec Purchase Direct Supply,,53401,Estimated,2015/16,Costs based on 2013/14 savings. Better control of streetlighting including dimming.
ANS,Angus Council,2014,2015,project,21.3,Seaton Grove - Upgrade lighting to LED,20,18920,Capital,Renewable Elec Purchase Direct Supply,,4125,Estimated,2015/16,
ANS,Angus Council,2014,2015,project,18.4,Seaton Grove - Solar PV array installed,20,41926,Captial,Renewable Elec Purchase Direct Supply,,4076,Estimated,2015/16,
ANS,Angus Council,2014,2015,project,15.1,Ravenswood Office - LED lighting,20,19704,CEEF/Maintenance,Renewable Elec Purchase Direct Supply,,3422,Estimated,2015/16,
ANS,Angus Council,2014,2015,project,14.2,Seaton Grove Upgrade to condensing boilers and DHW,20,38850,CEEF,Natural Gas,,3933,Estimated,2015/16,
ANS,Angus Council,2014,2015,project,12.9,Fairlie House - Install TREND BMS system to Elect Heating and DHW,20,6761,CEM,Renewable Elec Purchase Direct Supply,,2079,Estimated,2015/16,
ANS,Angus Council,2014,2015,project,9.1,Arbroath Sports Centre - Pool AHU Upgrade to TREND,20,8408,CEEF,Renewable Elec Purchase Direct Supply,,2110,Estimated,2015/16,
ANS,Angus Council,2014,2015,project,8.6,Seaton Grove - Install TREND BMS controls to new boiler and DHW,20,5500,CEM,Natural Gas,,983,Estimated,2015/16,
ANS,Angus Council,2014,2015,project,7.3,The Mart - Connect heating to TREND BMS split over 3 floors,20,7209,CEEF,Renewable Elec Purchase Direct Supply,,1203,Estimated,2015/16,
ANS,Angus Council,2014,2015,project,5.2,"Lilybank Resource Centre - insulate all exposed pipes, valves and flanges in Boiler Room",20,3371,CEEF,Natural Gas,,674,Estimated,2015/16,
ANS,Angus Council,2015,2016,project,575,Street lighting,,,Street lighting budget,Grid Electricity ,,,Estimated,2015,Reductions contained within corporate electricity & CO2 figures.
ANS,Angus Council,2015,2016,project,13,"Lochside Primary School, Montrose
Zoning of heating for Out of School club",20,8925,CEEF,Natural Gas,,2275,Estimated,2016/17,"Operational costs taken from Systemslink billing information for last full year prior to project year.
Pay-back period - 3.9 Years"
ANS,Angus Council,2015,2016,project,12,"Dewar House, Arbroath
Installation of TREND Controls to Off-peak heating and DHW",20,6038,CEEF,Grid Electricity ,,1992,Estimated,2016/17,"Operational costs taken from Systemslink billing information for last full year prior to project year.
Pay-back period - 3.0 Years"
ANS,Angus Council,2015,2016,project,8,"Montrose Road Centre, Forfar
Upgrade lighting to LED and install controls",20,8400,CEEF,Grid Electricity ,,1635,Estimated,2016/17,"Operational costs taken from Systemslink billing information for last full year prior to project year.
Pay-back period - 5.1 Years"
ANS,Angus Council,2015,2016,project,7,"Ferryden Primary School, Montrose
Rationalisation of DHW and connection to BMS",20,4200,CWEF,Grid Electricity ,,1226,Estimated,2016/17,"Operational costs taken from Systemslink billing information for last full year prior to project year.
Pay-back period - 3.4 Years"
ANS,Angus Council,2015,2016,project,10,"Carnoustie High School, Carnoustie
Replacement LED light and controls - Games Hall",20,13598,Split between CEEF and Spend to Save Fund,Grid Electricity ,,1300,Estimated,2016/17,"Operational costs taken from Systemslink billing information for last full year prior to project year.
Pay-back period - 10.5 Years"
ANS,Angus Council,2015,2016,project,6,"Lilybank Resource Centre, Forfar
Upgrade to LED lighting and controls",20,10500,CEEF,Grid Electricity ,,1831,Estimated,2016/17,"Operational costs taken from Systemslink billing information for last full year prior to project year.
Pay-back period - 5.5 Years"
ANS,Angus Council,2015,2016,project,6,"Websters Sports Centre, Kirriemuir
Upgrade to LED lighting and controls",20,32000,CEEF and Carbon Reduction Fund,Grid Electricity ,,1245,Estimated,2016/17,"Operational costs taken from Systemslink billing information for last full year prior to project year.
Pay-back period - 25.7 Years"
ANS,Angus Council,2015,2016,project,5,"Ravenswood Office, Forfar
Rationalisation of External lighting and upgrade to LED with controls",20,5250,CEEF,Grid Electricity ,,1111,Estimated,2016/17,"Operational costs taken from Systemslink billing information for last full year prior to project year.
Pay-back period - 4.7 Years"
ANS,Angus Council,2015,2016,project,5,"Invertay House, Monifieth
Replacement TRV's to all radiators",20,2472,CEEF,Natural Gas,,641,Estimated,2016/17,"Operational costs taken from Systemslink billing information for last full year prior to project year.
Pay-back period - 3.7 Years"
ANS,Angus Council,2016,2017,project,787,Street lighting,,,Street Lighting budget,Grid Electricity ,,,Estimated,2016/17,"A reduction of 1,097,771 kWh compared with period 2015/16. The reduction has been achieved by carrying out conversions on our existing lighting stock. This has included the conversion to electronic control gear, LED Conversions, 62% of our street lights are now converted to LED and also trimming the burning hours of each lamp."
ANS,Angus Council,2016,2017,project,26.2,Carnoustie High School,20,15049,CRF,Natural Gas,,2508,Estimated,2017/18,Upgrade and rationalisation of boilers in retained facility.
ANS,Angus Council,2016,2017,project,17.2,"Angus House, Forfar",20,40000,CRF,Grid Electricity ,,5714,Estimated,2017/18,LED lighting to whole building. 
ANS,Angus Council,2016,2017,project,16.3,Various sites with Air Handling Unit's,20,1388,Central Energy Management,Natural Gas,,1388,Estimated,2017/18,TREND Software to assist in operation of AHU's via Building Management System.
ANS,Angus Council,2016,2017,project,12,Arbroath Sports Centre,20,9142,Central Energy Management,Natural Gas,,1306,Estimated,2017/18,"Boiler rationalisation, installation accumulator tanks and heat exchanger. "
ANS,Angus Council,2016,2017,project,10.1,Inverbrothock Primary School,20,12984,Central Energy Management,Natural Gas,,752,Estimated,2017/18,Creation of separate heating zone through Building Management System for Out of School Club. 
ANS,Angus Council,2016,2017,project,8.7,Southmuir Primary School,20,16493,Central Energy Management,Grid Electricity ,,1777,Estimated,2017/18,LED and controls to various areas of school.
ANS,Angus Council,2016,2017,project,8.1,Arbroath Sports Centre,20,16779,CRF,Grid Electricity ,,2397,Estimated,2017/18,LED lighting and controls throughout building. 
ANS,Angus Council,2016,2017,project,7,Websters - whole Campus,20,9777,CRF,Grid Electricity ,,1955,Estimated,2017/18,Upgrade external lighting to LED with controls. 
ANS,Angus Council,2016,2017,project,6.1,Andover Primary School,20,12156,Central Energy Management,Grid Electricity ,,1736,Estimated,2017/18,"Upgrade Nursery lighting and Replace Corridor Lights to LED and fit key switches. Replace External Lighting to LED
"
ANS,Angus Council,2017,2018,project,671,Street Lighting,20,,,Grid Electricity ,,92521.00,Estimated,2016/17,"A reduction of 802,742kWh compared with period 2016/17. the reduction has been achieved by carrying out conversions on our existing lighting stock. This has included the conversion to electronic control gear, LED conversions. 68 % of our street lights are now converted to LED and also trimming the burning hours of each lamp. Energy efficiency programme commenced 2010/11 & since then reductions have been -52% in kWh and -37% in CO2 T p.a."
